order_date,sub_order_num,order_status,state,pin,gst_amount,meesho_price,shipping_charges_total,price
25-10-2022,458878633167_1,Delivered,Punjab,160055,100.3,2106,0,2079
26-10-2022,269083456798_1,Shipped,Goa,403516,24.2,508,0,508
27-10-2022,437167650973_1,Delivered,Odisha,765021,71.9,1510,0,1510
28-10-2022,736602256273_1,Delivered,Gujarat,382415,71.44,1500,148,1648
29-10-2022,384931415630_1,Delivered,West Bengal,741139,87.96,1847,0,1847
30-10-2022,621670207763_1,Cancelled,West Bengal,735217,24.2,508,0,508
31-10-2022,239488734703_1,Delivered,Karnataka,577226,64.3,1350,114,1464
01-11-2022,704165208295_1,Return,Kerala,682034,64.3,1350,117,1451
02-11-2022,426207937376_1,Return,Odisha,758032,66.68,1400,81,1481
03-11-2022,717389427083_1,Shipped,Kerala,685602,24.2,508,0,508
04-11-2022,707632123402_1,Shipped,Karnataka,560076,26.14,549,0,535
05-11-2022,220688769897_1,rto,Assam,788734,76.2,1600,122,1722
06-11-2022,145765249861_1,Delivered,Maharashtra,410220,71.3,1497,0,1497
07-11-2022,832025757463_1,Delivered,Tamil Nadu,600077,64.3,1350,114,1448
08-11-2022,133620476043_1,Return,Uttar Pradesh,282001,64.3,1350,114,1464
09-11-2022,823942308881_1,Delivered,Odisha,760006,64.3,1350,114,1464
10-11-2022,349165630963_1,Shipped,Uttarakhand,249137,24.2,508,0,508
11-11-2022,264002870509_1,Delivered,Gujarat,395010,34.68,728,0,703
12-11-2022,654530604117_1,Delivered,Odisha,766100,61.9,1300,114,1398
13-11-2022,150003921805_1,Return,Up,231305,80.82,1697,0,1697
14-11-2022,188317821806_1,Exchange,Telangana,502220,65.14,1368,110,1478
15-11-2022,673557263786_1,Return,Madhya Pradesh,480884,95.24,2000,110,2110
16-11-2022,231138984607_1,Delivered,Tamil Nadu,628704,64.3,1350,114,1448
17-11-2022,641914233092_1,Delivered,Uttar Pradesh,231224,73.68,1547,0,1547
18-11-2022,922552445432_1,Shipped,Uttarakhand,263153,65.14,1368,110,1478
19-11-2022,406826346276_1,Delivered,Rajasthan,324008,97.62,2050,0,2050
20-11-2022,849870909835_1,Return,Uttarakhand,247671,64.3,1350,114,1464
21-11-2022,507255016644_1,Delivered,Telangana,500048,61.9,1300,108,1408
22-11-2022,537121032423_1,Return,Assam,781315,74.34,1561,125,1686
23-11-2022,874997211089_1,Shipped,Others,742225,66.68,1400,81,1465
24-11-2022,574899849229_1,Cancelled,Tamil Nadu,600053,64.3,1350,114,1464
25-11-2022,583140288760_1,Delivered,West Bengal,712235,66.68,1400,81,1481
26-11-2022,710010425387_1,Shipped,Maharashtra,400095,66.68,1400,110,1510
27-11-2022,803134095214_1,Return,Tamil Nadu,612002,78.86,1656,0,1656
28-11-2022,139089555643_1,Delivered,Karnataka,560100,24.2,508,0,508
29-11-2022,974991026344_1,Return,Delhi,110081,66.68,1400,110,1510
30-11-2022,704814497883_1,Delivered,Bihar,813210,66.68,1400,81,1481
01-12-2022,296540364861_1,rto,seoni,480661,62.44,1311,114,1425
02-12-2022,571369750119_1,Shipped,Punjab,142044,66.68,1400,110,1510
03-12-2022,542703544972_1,Delivered,Himachal Pradesh,171207,23.76,499,0,499
04-12-2022,355746559602_1,Shipped,Andhra Pradesh,524408,71.44,1500,110,1610
05-12-2022,768837658082_1,Delivered,Madhya Pradesh,453771,65.14,1368,81,1449
06-12-2022,265339595628_1,Delivered,Gujarat,395010,26.14,549,0,526
07-12-2022,354486173123_1,Delivered,Himachal Pradesh,177048,64.3,1350,114,1448
08-12-2022,397474434265_1,Delivered,Rajasthan,314001,23.76,499,0,480
09-12-2022,382786145334_1,rto,Uttar Pradesh,226010,74.34,1561,108,1669
10-12-2022,261601009640_1,Return,Odisha,764001,66.68,1400,81,1481
11-12-2022,703072596386_1,Shipped,Uttar Pradesh,211008,59.9,1258,0,1286
12-12-2022,402972493507_1,Delivered,Telangana,505530,64.3,1350,114,1464
13-12-2022,125088357756_1,Cancelled,Madhya Pradesh,452002,64.3,1350,108,1458
14-12-2022,203099192349_1,Delivered,Andhra Pradesh,520001,74.34,1561,108,1651
15-12-2022,928726855752_1,Shipped,Madhya Pradesh,485771,99.86,2097,0,2097
16-12-2022,295645979015_1,Shipped,Tamil Nadu,606205,66.68,1400,83,1483
17-12-2022,978604039408_1,Delivered,Haryana,125004,87.96,1847,0,1847
18-12-2022,189410351427_1,Delivered,Maharashtra,411058,27.68,581,0,572
19-12-2022,301578067962_1,Return,Kerala,695581,64.3,1350,120,1454
20-12-2022,658416003246_1,Shipped,Chhattisgarh,491771,24.2,508,0,508
21-12-2022,114775122169_1,rto,Andhra Pradesh,530024,65.14,1368,81,1449
22-12-2022,473722759765_1,Delivered,Tamil Nadu,600060,64.3,1350,114,1448
23-12-2022,803963214519_1,rto,Delhi,110007,66.68,1400,110,1510
24-12-2022,184970118893_1,Delivered,Karnataka,560001,74.34,1561,108,1651
25-12-2022,736602256273_2,Delivered,Gujarat,382415,71.44,1500,148,1648
26-12-2022,237419587792_1,Delivered,Gujarat,395010,26.14,549,0,526
27-12-2022,555207008312_1,Delivered,Gujarat,394160,66.68,1400,81,1481
28-12-2022,702473758487_1,Return,Rajasthan,341505,99.86,2097,0,2097
29-12-2022,105706412059_1,Return,Maharashtra,411009,66.68,1400,72,1472
30-12-2022,183404359462_1,rto,Bihar,805130,65.14,1368,79,1447
31-12-2022,294779117929_1,Shipped,Kerala,691004,24.72,519,0,519
01-01-2023,431854237562_1,Return,Punjab,146001,27.68,581,0,581
02-01-2023,118121582107_1,Shipped,Mumbai,400095,24.2,508,0,499
03-01-2023,296605193297_1,rto,Telangana,506001,23.48,493,0,493
04-01-2023,1688345391_1,Return,Arunachal Pradesh,792001,64.3,1350,114,1464
05-01-2023,704133639877_1,rto,Kerala,673527,66.68,1400,116,1516
06-01-2023,444981584080_1,Return,Tamil Nadu,603204,64.3,1350,114,1464
07-01-2023,765111140935_1,Delivered,West Bengal,711227,61.9,1300,114,1414
08-01-2023,923462757835_1,Return,punjab,143101,99.86,2097,0,2097
09-01-2023,447323391939_1,rto,Madhya Pradesh,465674,71.44,1500,140,1640
10-01-2023,271046524562_1,Shipped,Delhi,110009,66.68,1400,110,1510
11-01-2023,346130315989_1,Return,Andhra Pradesh,532005,64.3,1350,114,1464
12-01-2023,312073496064_1,rto,Telangana,500052,66.68,1400,110,1525
13-01-2023,916538974169_1,rto,Assam,782435,88.62,1861,0,1861
14-01-2023,436163379734_1,Delivered,MAHARASHTRA,421204,51.14,1074,0,1052
